1;4602541002640;"""Агуша"" вода 0,33л";"ОАО ""ВБД"" Россия";33,00;;18;;
2;4690228036866;"""Агуша"" Мини-хлебцы ""Рисовые с грушев.соком"" 30г";"ОАО""Вимм-Билль-Данн""г. Москва";50,00;;1;;
3;4602541004156;"""Агуша"" пюре 115г груша";"ОАО""Вимм-Билль-Данн""г. Москва";45,00;;1;;
4;4602541004217;"""Агуша"" пюре 115г груша,яблоко";"ОАО""Вимм-Билль-Данн""г. Москва";45,00;;1;;
5;4602541004132;"""Агуша"" пюре 115г яблоко";"ОАО""Вимм-Билль-Данн""г. Москва";45,00;;1;;
6;4690228023583;"""Агуша"" пюре 115г яблоко,груша,банан,персик";"ОАО""Вимм-Билль-Данн""г. Москва";30,00;;1;;
7;4602541004330;"""Агуша"" пюре 115г яблоко,персик";"ОАО""Вимм-Билль-Данн""г. Москва";30,00;;3;;
8;4690228020735;"""Агуша"" пюре 80г цыпленок с говядиной";"ОАО ""ВБД"" Россия";68,00;;3;;
9;4690228028922;"""Агуша"" пюре 90г банан";"ОАО""Вимм-Билль-Данн""г. Москва";55,00;;1;;
10;4690228028946;"""Агуша"" пюре 90г груша";"ОАО""Вимм-Билль-Данн""г. Москва";55,00;;1;;
11;4690228028885;"""Агуша"" пюре 90г яблоко";"ОАО""Вимм-Билль-Данн""г. Москва";55,00;;1;;
12;4690228032325;"""Агуша"" пюре 90г яблоко/ежев/малина";"ОАО""Вимм-Билль-Данн""г. Москва";55,00;;1;;
13;4690228032363;"""Агуша"" пюре 90г яблоко/клуб/творог";"ОАО""Вимм-Билль-Данн""г. Москва";55,00;;1;;
14;4690228035012;"""Агуша"" пюре 90г яблоко/морк/абрикос";"ОАО""Вимм-Билль-Данн""г. Москва";55,00;;1;;
15;4690228032387;"""Агуша"" пюре 90г яблоко/творог/печ";"ОАО""Вимм-Билль-Данн""г. Москва";55,00;;1;;
16;4602541002992;"""Агуша"" сок тетрапак яблоко/банан 500мл";"ОАО""Вимм-Билль-Данн""г. Москва";63,00;;1;;
17;3838471020961;"""Беби"" каша мол 7злаков 200г";Kolinska (Словения);160,00;;1;;
18;3838471019972;"""Беби"" каша мол гречка 200г";Kolinska (Словения);163,00;;1;;
19;3838471035545;"""Беби"" каша мол овсянка,банан,груша 200г";Kolinska (Словения);160,00;;1;;
20;3838600076357;"""Беби"" каша мол овсянка,персик 250г";Kolinska (Словения);163,00;;1;;
21;3838600054560;"""Беби"" каша мол пшеница,яблоко,банан 250г";Kolinska (Словения);160,00;;1;;
22;3838600076456;"""Беби"" каша мол рис,курага 250г с 4 мес";Kolinska (Словения);150,00;;1;;
23;3838600217545;"""Беби"" каша мол рис,яблоко 250г";Kolinska (Словения);150,00;;1;;
24;3838471034579;"""Беби"" каша мол рис,яблоко,тыква 200г";Kolinska (Словения);150,00;;1;;
25;3838471033978;"""Беби"" печенье дет.6 злаков 115г";Kolinska (Словения);110,00;;2;;
